wrapper  | --> Wrapper Started as Daemon
wrapper  | Launching a JVM...
jvm 1    | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
jvm 1    |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
jvm 1    | 
jvm 1    | 2022-08-28 08:27:19,754+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.jsw.JswLauncher - Starting with arguments: [./conf/jetty.xml, ./conf/jetty-requestlog.xml]
jvm 1    | 2022-08-28 08:27:19,758+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.jsw.JswLauncher - JVM ID: 1, JVM PID: 24494, Wrapper PID: 24492, User: ec2-user
jvm 1    | 2022-08-28 08:27:19,930+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder - Properties:
jvm 1    | 2022-08-28 08:27:19,933+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-conf='/home/ec2-user/nexus-2.14.18-01/../sonatype-work/nexus/conf'
jvm 1    | 2022-08-28 08:27:19,933+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-host='0.0.0.0'
jvm 1    | 2022-08-28 08:27:19,933+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-port='8081'
jvm 1    | 2022-08-28 08:27:19,933+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   bundleBasedir='/home/ec2-user/nexus-2.14.18-01'
jvm 1    | 2022-08-28 08:27:19,933+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   java.awt.headless='true'
jvm 1    | 2022-08-28 08:27:19,933+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   networkaddress.cache.ttl='3600'
jvm 1    | 2022-08-28 08:27:19,933+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-app='/home/ec2-user/nexus-2.14.18-01/nexus/WEB-INF'
